Game Mode : ,ai_vs_player
Board Size : ,15
Winner : ,White
112,126,96,80,111,113,110,124,125,97,81,66,94,109,95,93,127,143,79,63,128,144,145,140,108,130,158,157,129,139,141,154,169,155,153,168,182,185,171,170,200,186,202,184,187,156,123,198,212,142
